[2025-08-23 22:20:25] Genoa vs Lecce - C Values: {"T1_C": 2.2, "T2_C": 2.875, "T3_C": 3.98, "T4_C": 1.264, "T5_C": 1.435, "T6_C": 1.688, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.77, "T10_C": 2.05, "T11_C": 2.07, "T12_C": 1.755, "T13_C": 1.855, "T14_C": 1.945, "T180_C": 2.71, "T181_C": 1.464}
[2025-08-23 22:20:56] Genoa vs Lecce - C Values: {"T1_C": 2.2, "T2_C": 2.875, "T3_C": 3.98, "T4_C": 1.264, "T5_C": 1.435, "T6_C": 1.688, "T7_C": 1.49, "T8_C": 2.625, "T9_C": 1.77, "T10_C": 2.05, "T11_C": 2.07, "T12_C": 1.755, "T13_C": 1.855, "T14_C": 1.945, "T180_C": 2.71, "T181_C": 1.464}
[2025-08-23 22:21:25] Genoa vs Lecce - C Values: {"T1_C": 2.2, "T2_C": 2.875, "T3_C": 3.98, "T4_C": 1.264, "T5_C": 1.435, "T6_C": 1.688, "T7_C": 1.52, "T8_C": 2.53, "T9_C": 1.77, "T10_C": 2.05, "T11_C": 2.07, "T12_C": 1.755, "T13_C": 1.855, "T14_C": 1.945, "T180_C": 2.575, "T181_C": 1.504}
[2025-08-23 22:21:39] Genoa vs Lecce - C Values: {"T1_C": 2.232, "T2_C": 2.79, "T3_C": 4.04, "T4_C": 1.26, "T5_C": 1.46, "T6_C": 1.67, "T7_C": 1.49, "T8_C": 2.625, "T9_C": 1.77, "T10_C": 2.05, "T11_C": 2.07, "T12_C": 1.755, "T13_C": 1.855, "T14_C": 1.945, "T180_C": 2.71, "T181_C": 1.464}
[2025-08-23 22:22:23] Genoa vs Lecce - C Values: {"T1_C": 2.232, "T2_C": 2.79, "T3_C": 4.04, "T4_C": 1.26, "T5_C": 1.46, "T6_C": 1.67, "T7_C": 1.49, "T8_C": 2.625, "T9_C": 1.77, "T10_C": 2.05, "T11_C": 2.07, "T12_C": 1.755, "T13_C": 1.81, "T14_C": 2, "T180_C": 2.71, "T181_C": 1.464}
[2025-08-23 22:22:36] Genoa vs Lecce - C Values: {"T1_C": 2.232, "T2_C": 2.79, "T3_C": 4.04, "T4_C": 1.26, "T5_C": 1.46, "T6_C": 1.67, "T7_C": 1.49, "T8_C": 2.625, "T9_C": 1.85, "T10_C": 1.95, "T11_C": 2.07, "T12_C": 1.755, "T13_C": 1.81, "T14_C": 2, "T180_C": 2.71, "T181_C": 1.464}
[2025-08-23 22:23:40] Genoa vs Lecce - C Values: {"T1_C": 2.232, "T2_C": 2.79, "T3_C": 4.04, "T4_C": 1.26, "T5_C": 1.46, "T6_C": 1.67, "T7_C": 1.49, "T8_C": 2.625, "T9_C": 1.85, "T10_C": 1.95, "T11_C": 2.21, "T12_C": 1.664, "T13_C": 1.864, "T14_C": 1.936, "T180_C": 2.71, "T181_C": 1.464}
[2025-08-23 22:24:11] Genoa vs Lecce - C Values: {"T1_C": 2.232, "T2_C": 2.79, "T3_C": 4.04, "T4_C": 1.26, "T5_C": 1.46, "T6_C": 1.67, "T7_C": 1.49, "T8_C": 2.625, "T9_C": 1.85, "T10_C": 1.95, "T11_C": 2.21, "T12_C": 1.664, "T13_C": 1.864, "T14_C": 1.936, "T180_C": 2.915, "T181_C": 1.41}
[2025-08-23 22:25:04] Genoa vs Lecce - C Values: {"T1_C": 2.232, "T2_C": 2.79, "T3_C": 4.04, "T4_C": 1.26, "T5_C": 1.46, "T6_C": 1.67, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.85, "T10_C": 1.95, "T11_C": 2.21, "T12_C": 1.664, "T13_C": 1.864, "T14_C": 1.936, "T180_C": 2.915, "T181_C": 1.41}
[2025-08-23 22:25:59] Genoa vs Lecce - C Values: {"T1_C": 2.232, "T2_C": 2.79, "T3_C": 4.04, "T4_C": 1.26, "T5_C": 1.46, "T6_C": 1.67, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.85, "T10_C": 1.95, "T11_C": 2.21, "T12_C": 1.665, "T13_C": 1.864, "T14_C": 1.936, "T180_C": 2.915, "T181_C": 1.41}
[2025-08-23 22:26:11] Genoa vs Lecce - C Values: {"T1_C": 2.192, "T2_C": 2.74, "T3_C": 4.3, "T4_C": 1.235, "T5_C": 1.47, "T6_C": 1.69, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 1.85, "T10_C": 1.95, "T11_C": 2.21, "T12_C": 1.665, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 2.915, "T181_C": 1.41}
[2025-08-23 22:26:36] Genoa vs Lecce - C Values: {"T1_C": 2.192, "T2_C": 2.74, "T3_C": 4.3, "T4_C": 1.235, "T5_C": 1.47, "T6_C": 1.69, "T7_C": 1.44, "T8_C": 2.78, "T9_C": 1.975, "T10_C": 1.83, "T11_C": 2.21, "T12_C": 1.665, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 2.915, "T181_C": 1.41}
[2025-08-23 22:27:08] Genoa vs Lecce - C Values: {"T1_C": 2.192, "T2_C": 2.74, "T3_C": 4.3, "T4_C": 1.235, "T5_C": 1.47, "T6_C": 1.69, "T7_C": 1.44, "T8_C": 2.78, "T9_C": 1.975, "T10_C": 1.83, "T11_C": 2.21, "T12_C": 1.665, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 3.14, "T181_C": 1.36}
[2025-08-23 22:28:02] Genoa vs Lecce - C Values: {"T1_C": 2.192, "T2_C": 2.74, "T3_C": 4.3, "T4_C": 1.235, "T5_C": 1.47, "T6_C": 1.69, "T7_C": 1.44, "T8_C": 2.78, "T9_C": 1.975, "T10_C": 1.83, "T11_C": 2.21, "T12_C": 1.664, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 3.14, "T181_C": 1.36}
[2025-08-23 22:28:20] Genoa vs Lecce - C Values: {"T1_C": 2.225, "T2_C": 2.66, "T3_C": 4.38, "T4_C": 1.23, "T5_C": 1.496, "T6_C": 1.67, "T7_C": 1.44, "T8_C": 2.78, "T9_C": 1.975, "T10_C": 1.83, "T11_C": 2.21, "T12_C": 1.664, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 3.14, "T181_C": 1.36}
[2025-08-23 22:28:33] Genoa vs Lecce - C Values: {"T1_C": 2.192, "T2_C": 2.74, "T3_C": 4.3, "T4_C": 1.235, "T5_C": 1.47, "T6_C": 1.69, "T7_C": 1.44, "T8_C": 2.78, "T9_C": 1.975, "T10_C": 1.83, "T11_C": 2.21, "T12_C": 1.664, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 3.14, "T181_C": 1.36}
